[2023-01-17 16:23:36,166] [autoreload.py:677] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2023-01-17 16:23:43,020] [server.py:111] [server:run] [INFO]- HTTP/2 support enabled
[2023-01-17 16:23:43,020] [server.py:122] [server:run] [INFO]- Configuring endpoint tcp:port=8000:interface=127.0.0.1
[2023-01-17 16:23:43,020] [server.py:153] [server:listen_success] [INFO]- Listening on TCP address 127.0.0.1:8000
[2023-01-17 16:25:00,348] [runserver.py:153] [runserver:log_action] [INFO]- HTTP GET /admin 301 [0.01, 127.0.0.1:50406]
[2023-01-17 16:25:00,494] [runserver.py:153] [runserver:log_action] [INFO]- HTTP GET /admin/ 302 [0.12, 127.0.0.1:50406]
[2023-01-17 16:25:01,103] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/login/?next=/admin/ 200 [0.61, 127.0.0.1:50406]
[2023-01-17 16:25:01,414] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/base.css 200 [0.23, 127.0.0.1:50406]
[2023-01-17 16:25:01,440] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/dark_mode.css 200 [0.25, 127.0.0.1:50407]
[2023-01-17 16:25:01,502] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/nav_sidebar.css 200 [0.31, 127.0.0.1:50409]
[2023-01-17 16:25:01,508] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/login.css 200 [0.31, 127.0.0.1:50410]
[2023-01-17 16:25:01,520] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/responsive.css 200 [0.28, 127.0.0.1:50411]
[2023-01-17 16:25:01,527] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/fonts.css 200 [0.11, 127.0.0.1:50406]
[2023-01-17 16:25:01,618] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/nav_sidebar.js 200 [0.11, 127.0.0.1:50410]
[2023-01-17 16:25:01,842] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/fonts/Roboto-Regular-webfont.woff 200 [0.05, 127.0.0.1:50410]
[2023-01-17 16:25:01,851] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/fonts/Roboto-Light-webfont.woff 200 [0.06, 127.0.0.1:50406]
[2023-01-17 16:25:02,020] [log.py:241] [log:log_response] [WARNING]- Not Found: /favicon.ico
[2023-01-17 16:25:02,021] [runserver.py:155] [runserver:log_action] [WARNING]- HTTP GET /favicon.ico 404 [0.13, 127.0.0.1:50406]
[2023-01-17 16:25:08,555] [runserver.py:153] [runserver:log_action] [INFO]- HTTP POST /admin/login/?next=/admin/ 302 [1.71, 127.0.0.1:50406]
[2023-01-17 16:25:08,859] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/ 200 [0.30, 127.0.0.1:50406]
[2023-01-17 16:25:08,911] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/dashboard.css 200 [0.01, 127.0.0.1:50406]
[2023-01-17 16:25:08,962] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/img/icon-addlink.svg 200 [0.03, 127.0.0.1:50406]
[2023-01-17 16:25:08,969] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/img/icon-changelink.svg 200 [0.04, 127.0.0.1:50418]
[2023-01-17 16:25:08,998] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/fonts/Roboto-Bold-webfont.woff 200 [0.01, 127.0.0.1:50418]
[2023-01-17 16:25:10,691] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/saas/configs/ 200 [0.18, 127.0.0.1:50418]
[2023-01-17 16:25:10,758] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/changelists.css 200 [0.04, 127.0.0.1:50418]
[2023-01-17 16:25:10,773] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/jsi18n/ 200 [0.05, 127.0.0.1:50406]
[2023-01-17 16:25:10,821] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/vendor/jquery/jquery.js 200 [0.09, 127.0.0.1:50424]
[2023-01-17 16:25:10,826] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/jquery.init.js 200 [0.10, 127.0.0.1:50425]
[2023-01-17 16:25:10,875] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/core.js 200 [0.14, 127.0.0.1:50426]
[2023-01-17 16:25:10,907] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/admin/RelatedObjectLookups.js 200 [0.17, 127.0.0.1:50427]
[2023-01-17 16:25:10,939] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/actions.js 200 [0.17, 127.0.0.1:50418]
